"";"X64.242.88.10......07.Mar.2004.16.05.49..0800.";"GET..twiki.bin.edit.Main.Double_bounce_sender.topicparent.Main.ConfigurationVariables.HTTP.1.1";"X401.12846"
"728";"64.242.88.10 - - [08/Mar/2004:06:57:09 -0800] ";"GET /twiki/bin/rdiff/TWiki/WebNotify HTTP/1.1";" 200 11780"
"729";"64.242.88.10 - - [08/Mar/2004:06:57:09 -0800]  ";" 6 , 26 , 81 ";"  200 11780"
"730";"128.227.88.79 - - [08/Mar/2004:06:57:46 -0800] ";"GET /twiki/bin/view/Main/WebHome HTTP/1.1";" 200 10419"
"731";"128.227.88.79 - - [08/Mar/2004:06:57:46 -0800]  ";" 7 , 38 , 969 ";"  200 10419"
"732";"128.227.88.79 - - [08/Mar/2004:06:57:46 -0800] ";"GET /twiki/pub/TWiki/TWikiLogos/twikiRobot46x50.gif HTTP/1.1";" 304 -"
"733";"128.227.88.79 - - [08/Mar/2004:06:57:46 -0800]  ";" 7 , 60 , 91 ";"  304 -"
"734";"64.242.88.10 - - [08/Mar/2004:07:00:15 -0800] ";"GET /twiki/bin/view/TWiki/DontNotify?rev=1.1 HTTP/1.1";" 200 3965"
"735";"64.242.88.10 - - [08/Mar/2004:07:00:15 -0800]  ";" 2 , 37 , 687 ";"  200 3965"
"736";"64.242.88.10 - - [08/Mar/2004:07:07:13 -0800] ";"GET /twiki/bin/edit/Main/Masquerade_classes?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12846"
"737";"64.242.88.10 - - [08/Mar/2004:07:07:13 -0800]  ";" 8 , 80 , 798 ";"  401 12846"
"738";"128.227.88.79 - - [08/Mar/2004:07:09:12 -0800] ";"GET /twiki/bin/view/Main/SpamAssassin HTTP/1.1";" 200 4081"
"739";"128.227.88.79 - - [08/Mar/2004:07:09:12 -0800]  ";" 4 , 9 , 679 ";"  200 4081"
"740";"64.242.88.10 - - [08/Mar/2004:07:09:21 -0800] ";"GET /twiki/bin/view/Main/WebPreferences?rev=r1.10 HTTP/1.1";" 200 8312"
"741";"64.242.88.10 - - [08/Mar/2004:07:09:21 -0800]  ";" 9 , 33 , 674 ";"  200 8312"
"742";"64.242.88.10 - - [08/Mar/2004:07:10:26 -0800] ";"GET /twiki/bin/view/TWiki/HaroldGottschalk?rev=1.2 HTTP/1.1";" 200 3774"
"743";"64.242.88.10 - - [08/Mar/2004:07:10:26 -0800]  ";" 4 , 37 , 853 ";"  200 3774"
"744";"64.242.88.10 - - [08/Mar/2004:07:11:37 -0800] ";"GET /twiki/bin/edit/TWiki/TWikiCodevTWikiPlannedFeatures?topicparent=TWiki.TWikiHistory HTTP/1.1";" 401 12851"
"745";"64.242.88.10 - - [08/Mar/2004:07:11:37 -0800]  ";" 6 , 49 , 792 ";"  401 12851"
"746";"64.242.88.10 - - [08/Mar/2004:07:12:39 -0800] ";"GET /twiki/bin/view/TWiki/TWikiHistory?rev=r1.44 HTTP/1.1";" 200 41434"
"747";"64.242.88.10 - - [08/Mar/2004:07:12:39 -0800]  ";" 8 , 91 , 669 ";"  200 41434"
"748";"64.242.88.10 - - [08/Mar/2004:07:22:13 -0800] ";"GET /twiki/bin/view/TWiki/PeterFokkinga?rev=1.2 HTTP/1.1";" 200 3748"
"749";"64.242.88.10 - - [08/Mar/2004:07:22:13 -0800]  ";" 7 , 1 , 316 ";"  200 3748"
"750";"64.242.88.10 - - [08/Mar/2004:07:23:38 -0800] ";"GET /twiki/bin/edit/TWiki/TWikiPlugins?t=1078696313 HTTP/1.1";" 401 12846"
"751";"64.242.88.10 - - [08/Mar/2004:07:23:38 -0800]  ";" 1 , 9 , 835 ";"  401 12846"
"752";"64.242.88.10 - - [08/Mar/2004:07:24:43 -0800] ";"GET /mailman/listinfo/webct HTTP/1.1";" 200 6377"
"753";"64.242.88.10 - - [08/Mar/2004:07:24:43 -0800]  ";" 6 , 18 , 293 ";"  200 6377"
"754";"64.242.88.10 - - [08/Mar/2004:07:25:56 -0800] ";"GET /razor.html HTTP/1.1";" 200 2869"
"755";"64.242.88.10 - - [08/Mar/2004:07:25:56 -0800]  ";" 4 , 67 , 713 ";"  200 2869"
"756";"64.242.88.10 - - [08/Mar/2004:07:27:01 -0800] ";"GET /mailman/listinfo/faculty HTTP/1.1";" 200 6054"
"757";"64.242.88.10 - - [08/Mar/2004:07:27:01 -0800]  ";" 2 , 87 , 857 ";"  200 6054"
"758";"61.9.4.61 - - [08/Mar/2004:07:27:36 -0800] ";"GET /_vti_bin/owssvr.dll?UL=1&ACT=4&BUILD=2614&STRMVER=4&CAPREQ=0 HTTP/1.0";" 404 284"
"759";"61.9.4.61 - - [08/Mar/2004:07:27:36 -0800]  ";" 6 , 88 , 434 ";"  404 284"
"760";"61.9.4.61 - - [08/Mar/2004:07:27:36 -0800] ";"GET /SpamAssassin.html HTTP/1.0";" 200 7368"
"761";"61.9.4.61 - - [08/Mar/2004:07:27:36 -0800]  ";" 1 , 16 , 813 ";"  200 7368"
"762";"61.9.4.61 - - [08/Mar/2004:07:27:37 -0800] ";"GET /MSOffice/cltreq.asp?UL=1&ACT=4&BUILD=2614&STRMVER=4&CAPREQ=0 HTTP/1.0";" 404 284"
"763";"61.9.4.61 - - [08/Mar/2004:07:27:37 -0800]  ";" 8 , 69 , 183 ";"  404 284"
"764";"64.242.88.10 - - [08/Mar/2004:07:28:29 -0800] ";"GET /mailman/admin/sswk HTTP/1.1";" 200 2072"
"765";"64.242.88.10 - - [08/Mar/2004:07:28:29 -0800]  ";" 6 , 87 , 133 ";"  200 2072"
"766";"64.242.88.10 - - [08/Mar/2004:07:29:56 -0800] ";"GET /mailman/listinfo/purchasing HTTP/1.1";" 200 6050"
"767";"64.242.88.10 - - [08/Mar/2004:07:29:56 -0800]  ";" 1 , 95 , 324 ";"  200 6050"
"768";"64.242.88.10 - - [08/Mar/2004:07:35:50 -0800] ";"GET /twiki/bin/edit/Main/Invalid_hostname_reject_code?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12846"
"769";"64.242.88.10 - - [08/Mar/2004:07:35:50 -0800]  ";" 4 , 2 , 571 ";"  401 12846"
"770";"64.242.88.10 - - [08/Mar/2004:07:39:31 -0800] ";"GET /twiki/bin/rdiff/Main/WebPreferences?rev1=1.14&rev2=1.13 HTTP/1.1";" 200 7207"
"771";"64.242.88.10 - - [08/Mar/2004:07:39:31 -0800]  ";" 1 , 37 , 892 ";"  200 7207"
"772";"64.242.88.10 - - [08/Mar/2004:07:40:54 -0800] ";"GET /twiki/bin/rename/TWiki/TWikiHistory HTTP/1.1";" 401 12846"
"773";"64.242.88.10 - - [08/Mar/2004:07:40:54 -0800]  ";" 4 , 62 , 678 ";"  401 12846"
"774";"64.242.88.10 - - [08/Mar/2004:07:43:21 -0800] ";"GET /twiki/bin/view/TWiki/SearchDoesNotWork?rev=r1.2 HTTP/1.1";" 200 4072"
"775";"64.242.88.10 - - [08/Mar/2004:07:43:21 -0800]  ";" 8 , 44 , 904 ";"  200 4072"
"776";"64.242.88.10 - - [08/Mar/2004:07:44:53 -0800] ";"GET /twiki/bin/view/TWiki/TWikiHistory?rev=r1.50 HTTP/1.1";" 200 42285"
"777";"64.242.88.10 - - [08/Mar/2004:07:44:53 -0800]  ";" 2 , 94 , 536 ";"  200 42285"
"778";"64.242.88.10 - - [08/Mar/2004:07:49:56 -0800] ";"GET /twiki/bin/edit/TWiki/RyanFreebern?t=1078701457 HTTP/1.1";" 401 12846"
"779";"64.242.88.10 - - [08/Mar/2004:07:49:56 -0800]  ";" 9 , 10 , 409 ";"  401 12846"
"780";"64.242.88.10 - - [08/Mar/2004:07:51:39 -0800] ";"GET /twiki/bin/view/Main/WebPreferences?rev=r1.2 HTTP/1.1";" 200 6061"
"781";"64.242.88.10 - - [08/Mar/2004:07:51:39 -0800]  ";" 2 , 94 , 892 ";"  200 6061"
"782";"64.242.88.10 - - [08/Mar/2004:07:53:19 -0800] ";"GET /twiki/bin/rdiff/TWiki/WebTopicEditTemplate HTTP/1.1";" 200 7895"
"783";"64.242.88.10 - - [08/Mar/2004:07:53:19 -0800]  ";" 9 , 11 , 835 ";"  200 7895"
"784";"mcl02.cnc.bc.ca - - [08/Mar/2004:07:53:37 -0800] ";"GET /ie.htm HTTP/1.1";" 200 3518"
"785";"mcl02.cnc.bc.ca - - [08/Mar/2004:07:53:37 -0800]  ";" 8 , 94 , 401 ";"  200 3518"
"786";"mcl02.cnc.bc.ca - - [08/Mar/2004:07:53:38 -0800] ";"GET /images/image005.jpg HTTP/1.1";" 200 21125"
"787";"mcl02.cnc.bc.ca - - [08/Mar/2004:07:53:38 -0800]  ";" 6 , 3 , 561 ";"  200 21125"
"788";"mcl02.cnc.bc.ca - - [08/Mar/2004:07:53:38 -0800] ";"GET /images/image004.jpg HTTP/1.1";" 200 10936"
"789";"mcl02.cnc.bc.ca - - [08/Mar/2004:07:53:38 -0800]  ";" 5 , 74 , 376 ";"  200 10936"
"790";"mcl02.cnc.bc.ca - - [08/Mar/2004:07:53:38 -0800] ";"GET /images/msgops.JPG HTTP/1.1";" 200 7939"
"791";"mcl02.cnc.bc.ca - - [08/Mar/2004:07:53:38 -0800]  ";" 5 , 73 , 950 ";"  200 7939"
"792";"64.242.88.10 - - [08/Mar/2004:07:54:30 -0800] ";"GET /twiki/bin/edit/Main/Unknown_local_recipient_reject_code?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12846"
"793";"64.242.88.10 - - [08/Mar/2004:07:54:30 -0800]  ";" 5 , 61 , 880 ";"  401 12846"
"794";"64.242.88.10 - - [08/Mar/2004:07:56:34 -0800] ";"GET /twiki/bin/search/Main/SearchResult?scope=text&regex=on&search=Web%20*Index[^A-Za-z] HTTP/1.1";" 200 4163"
"795";"64.242.88.10 - - [08/Mar/2004:07:56:34 -0800]  ";" 9 , 49 , 664 ";"  200 4163"
"796";"64.242.88.10 - - [08/Mar/2004:08:04:46 -0800] ";"GET /SpamAssassin.html HTTP/1.1";" 200 7368"
"797";"64.242.88.10 - - [08/Mar/2004:08:04:46 -0800]  ";" 8 , 23 , 479 ";"  200 7368"
"798";"p5083cd5d.dip0.t-ipconnect.de - - [08/Mar/2004:08:09:32 -0800] ";"GET /SpamAssassin.html HTTP/1.0";" 200 7368"
"799";"p5083cd5d.dip0.t-ipconnect.de - - [08/Mar/2004:08:09:32 -0800]  ";" 7 , 73 , 48 ";"  200 7368"
"800";"64.242.88.10 - - [08/Mar/2004:08:12:50 -0800] ";"GET /twiki/bin/view/TWiki/ChangePassword?rev=r1.6 HTTP/1.1";" 200 5181"
"801";"64.242.88.10 - - [08/Mar/2004:08:12:50 -0800]  ";" 1 , 77 , 636 ";"  200 5181"
"802";"64.242.88.10 - - [08/Mar/2004:08:14:15 -0800] ";"GET /twiki/bin/edit/TWiki/HaroldGottschalk?t=1078717948 HTTP/1.1";" 401 12846"
"803";"64.242.88.10 - - [08/Mar/2004:08:14:15 -0800]  ";" 6 , 46 , 454 ";"  401 12846"
"804";"64.242.88.10 - - [08/Mar/2004:08:15:21 -0800] ";"GET /twiki/bin/edit/Main/Expand_owner_alias?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12846"
"805";"64.242.88.10 - - [08/Mar/2004:08:15:21 -0800]  ";" 2 , 74 , 591 ";"  401 12846"
"806";"64.242.88.10 - - [08/Mar/2004:08:17:09 -0800] ";"GET /twiki/bin/view/Main/WebIndex?rev=r1.2 HTTP/1.1";" 200 45059"
"807";"64.242.88.10 - - [08/Mar/2004:08:17:09 -0800]  ";" 2 , 31 , 508 ";"  200 45059"
"808";"64.242.88.10 - - [08/Mar/2004:08:18:52 -0800] ";"GET /rfc.html HTTP/1.1";" 200 3103"
"809";"64.242.88.10 - - [08/Mar/2004:08:18:52 -0800]  ";" 1 , 3 , 453 ";"  200 3103"
"810";"pool-68-160-195-60.ny325.east.verizon.net - - [08/Mar/2004:08:21:00 -0800] ";"GET / HTTP/1.1";" 200 3169"
"811";"pool-68-160-195-60.ny325.east.verizon.net - - [08/Mar/2004:08:21:00 -0800]  ";" 9 , 10 , 677 ";"  200 3169"
"812";"pool-68-160-195-60.ny325.east.verizon.net - - [08/Mar/2004:08:21:00 -0800] ";"GET /favicon.ico HTTP/1.1";" 200 1078"
"813";"pool-68-160-195-60.ny325.east.verizon.net - - [08/Mar/2004:08:21:00 -0800]  ";" 8 , 75 , 21 ";"  200 1078"
"814";"64.242.88.10 - - [08/Mar/2004:08:21:47 -0800] ";"GET /twiki/bin/search/Main/SearchResult?scope=text&regex=on&search=RBLs%20*How%20*To[^A-Za-z] HTTP/1.1";" 200 3575"
"815";"64.242.88.10 - - [08/Mar/2004:08:21:47 -0800]  ";" 8 , 28 , 348 ";"  200 3575"
"816";"64.242.88.10 - - [08/Mar/2004:08:25:37 -0800] ";"GET /twiki/bin/rdiff/TWiki/WebTopicEditTemplate?rev1=1.5&rev2=1.4 HTTP/1.1";" 200 4212"
"817";"64.242.88.10 - - [08/Mar/2004:08:25:37 -0800]  ";" 1 , 99 , 354 ";"  200 4212"
"818";"212.92.37.62 - - [08/Mar/2004:08:26:41 -0800] ";"GET / HTTP/1.1";" 200 3169"
"819";"212.92.37.62 - - [08/Mar/2004:08:26:41 -0800]  ";" 5 , 30 , 997 ";"  200 3169"
"820";"212.92.37.62 - - [08/Mar/2004:08:27:04 -0800] ";"GET /twiki/bin/view/Main/WebHome HTTP/1.1";" 200 10419"
"821";"212.92.37.62 - - [08/Mar/2004:08:27:04 -0800]  ";" 9 , 63 , 697 ";"  200 10419"
"822";"212.92.37.62 - - [08/Mar/2004:08:27:08 -0800] ";"GET /twiki/pub/TWiki/TWikiLogos/twikiRobot46x50.gif HTTP/1.1";" 200 2877"
"823";"212.92.37.62 - - [08/Mar/2004:08:27:08 -0800]  ";" 4 , 77 , 630 ";"  200 2877"
"824";"64.242.88.10 - - [08/Mar/2004:08:27:14 -0800] ";"GET /twiki/bin/rdiff/Main/SpamAssassin HTTP/1.1";" 200 4445"
"825";"64.242.88.10 - - [08/Mar/2004:08:27:14 -0800]  ";" 2 , 35 , 78 ";"  200 4445"
"826";"212.92.37.62 - - [08/Mar/2004:08:27:23 -0800] ";"GET /twiki/bin/view/Main/SpamAssassinAndPostFix HTTP/1.1";" 200 4034"
"827";"212.92.37.62 - - [08/Mar/2004:08:27:23 -0800]  ";" 3 , 23 , 863 ";"  200 4034"
"828";"212.92.37.62 - - [08/Mar/2004:08:27:28 -0800] ";"GET /twiki/bin/view/Main/SpamAssassinTaggingOnly HTTP/1.1";" 200 5691"
"829";"212.92.37.62 - - [08/Mar/2004:08:27:28 -0800]  ";" 5 , 66 , 771 ";"  200 5691"
"830";"64.242.88.10 - - [08/Mar/2004:08:28:23 -0800] ";"GET /twiki/bin/rdiff/Main/TokyoOffice?rev1=1.2&rev2=1.1 HTTP/1.1";" 200 7316"
"831";"64.242.88.10 - - [08/Mar/2004:08:28:23 -0800]  ";" 4 , 3 , 777 ";"  200 7316"
"832";"64.242.88.10 - - [08/Mar/2004:08:29:36 -0800] ";"GET /twiki/bin/view/TWiki/TWikiCategoryTable HTTP/1.1";" 200 3729"
"833";"64.242.88.10 - - [08/Mar/2004:08:29:36 -0800]  ";" 9 , 94 , 876 ";"  200 3729"
"834";"219.95.17.51 - - [08/Mar/2004:08:29:57 -0800] ";"GET / HTTP/1.1";" 200 3169"
"835";"219.95.17.51 - - [08/Mar/2004:08:29:57 -0800]  ";" 1 , 68 , 842 ";"  200 3169"
"836";"212.92.37.62 - - [08/Mar/2004:08:30:25 -0800] ";"GET /twiki/bin/view/Main/SpamAssassinDeleting HTTP/1.1";" 200 5543"
"837";"212.92.37.62 - - [08/Mar/2004:08:30:25 -0800]  ";" 7 , 58 , 551 ";"  200 5543"
"838";"212.92.37.62 - - [08/Mar/2004:08:31:37 -0800] ";"GET /twiki/bin/view/Main/DCCAndPostFix HTTP/1.1";" 200 5253"
"839";"212.92.37.62 - - [08/Mar/2004:08:31:37 -0800]  ";" 8 , 59 , 577 ";"  200 5253"
"840";"10.0.0.153 - - [08/Mar/2004:08:32:24 -0800] ";"GET / HTTP/1.1";" 304 -"
"841";"10.0.0.153 - - [08/Mar/2004:08:32:24 -0800]  ";" 5 , 99 , 572 ";"  304 -"
"842";"10.0.0.153 - - [08/Mar/2004:08:32:27 -0800] ";"GET /twiki/bin/view/Main/WebHome HTTP/1.1";" 200 10419"
"843";"10.0.0.153 - - [08/Mar/2004:08:32:27 -0800]  ";" 7 , 41 , 874 ";"  200 10419"
"844";"10.0.0.153 - - [08/Mar/2004:08:32:27 -0800] ";"GET /twiki/pub/TWiki/TWikiLogos/twikiRobot46x50.gif HTTP/1.1";" 304 -"
"845";"10.0.0.153 - - [08/Mar/2004:08:32:27 -0800]  ";" 8 , 9 , 815 ";"  304 -"
"846";"212.92.37.62 - - [08/Mar/2004:08:32:34 -0800] ";"GET /twiki/bin/view/Main/SpamAssassinUsingRazorAndDCC HTTP/1.1";" 200 7435"
"847";"212.92.37.62 - - [08/Mar/2004:08:32:34 -0800]  ";" 4 , 39 , 289 ";"  200 7435"
"848";"212.92.37.62 - - [08/Mar/2004:08:33:27 -0800] ";"GET /twiki/bin/view/Main/PostfixCommands HTTP/1.1";" 200 4016"
"849";"212.92.37.62 - - [08/Mar/2004:08:33:27 -0800]  ";" 1 , 90 , 10 ";"  200 4016"
"850";"212.92.37.62 - - [08/Mar/2004:08:33:30 -0800] ";"GET /twiki/bin/view/Main/PostfixCmd HTTP/1.1";" 200 4173"
"851";"212.92.37.62 - - [08/Mar/2004:08:33:30 -0800]  ";" 2 , 40 , 685 ";"  200 4173"
"852";"212.92.37.62 - - [08/Mar/2004:08:33:39 -0800] ";"GET /twiki/bin/view/Main/PostSuper HTTP/1.1";" 200 3629"
"853";"212.92.37.62 - - [08/Mar/2004:08:33:39 -0800]  ";" 8 , 47 , 999 ";"  200 3629"
"854";"64.242.88.10 - - [08/Mar/2004:08:33:51 -0800] ";"GET /twiki/bin/view/Main/WebPreferences?rev=r1.14 HTTP/1.1";" 200 8820"
"855";"64.242.88.10 - - [08/Mar/2004:08:33:51 -0800]  ";" 3 , 98 , 292 ";"  200 8820"
"856";"212.92.37.62 - - [08/Mar/2004:08:33:52 -0800] ";"GET /twiki/bin/view/Main/SideBar HTTP/1.1";" 200 3972"
"857";"212.92.37.62 - - [08/Mar/2004:08:33:52 -0800]  ";" 2 , 95 , 498 ";"  200 3972"
"858";"212.92.37.62 - - [08/Mar/2004:08:33:57 -0800] ";"GET /twiki/bin/view/Main/DCCGraphs HTTP/1.1";" 200 5402"
"859";"212.92.37.62 - - [08/Mar/2004:08:33:57 -0800]  ";" 8 , 65 , 143 ";"  200 5402"
"860";"212.92.37.62 - - [08/Mar/2004:08:34:09 -0800] ";"GET /SpamAssassin.html HTTP/1.1";" 200 7368"
"861";"212.92.37.62 - - [08/Mar/2004:08:34:09 -0800]  ";" 9 , 27 , 715 ";"  200 7368"
"862";"64.242.88.10 - - [08/Mar/2004:08:34:53 -0800] ";"GET /twiki/bin/rdiff/TWiki/TWikiHistory?rev1=1.8&rev2=1.7 HTTP/1.1";" 200 4972"
"863";"64.242.88.10 - - [08/Mar/2004:08:34:53 -0800]  ";" 4 , 89 , 433 ";"  200 4972"
"864";"64.242.88.10 - - [08/Mar/2004:08:36:05 -0800] ";"GET /twiki/bin/view/TWiki/ChangePassword?rev=r1.3 HTTP/1.1";" 200 5229"
"865";"64.242.88.10 - - [08/Mar/2004:08:36:05 -0800]  ";" 1 , 24 , 237 ";"  200 5229"
"866";"92-moc-6.acn.waw.pl - - [08/Mar/2004:08:37:14 -0800] ";"GET /twiki/bin/view/Main/SpamAssassinAndPostFix HTTP/1.1";" 200 4034"
"867";"92-moc-6.acn.waw.pl - - [08/Mar/2004:08:37:14 -0800]  ";" 8 , 46 , 334 ";"  200 4034"
"868";"92-moc-6.acn.waw.pl - - [08/Mar/2004:08:37:14 -0800] ";"GET /twiki/pub/TWiki/TWikiLogos/twikiRobot46x50.gif HTTP/1.1";" 304 -"
"869";"92-moc-6.acn.waw.pl - - [08/Mar/2004:08:37:14 -0800]  ";" 5 , 62 , 936 ";"  304 -"
"870";"92-moc-6.acn.waw.pl - - [08/Mar/2004:08:37:17 -0800] ";"GET /twiki/bin/view/Main/SpamAssassinTaggingOnly HTTP/1.1";" 200 5691"
"871";"92-moc-6.acn.waw.pl - - [08/Mar/2004:08:37:17 -0800]  ";" 4 , 9 , 867 ";"  200 5691"
"872";"64.242.88.10 - - [08/Mar/2004:08:37:23 -0800] ";"GET /twiki/bin/attach/TWiki/HaroldGottschalk HTTP/1.1";" 401 12846"
"873";"64.242.88.10 - - [08/Mar/2004:08:37:23 -0800]  ";" 2 , 48 , 218 ";"  401 12846"
"874";"66.213.206.2 - - [08/Mar/2004:08:37:53 -0800] ";"GET / HTTP/1.1";" 200 3169"
"875";"66.213.206.2 - - [08/Mar/2004:08:37:53 -0800]  ";" 6 , 82 , 218 ";"  200 3169"
"876";"64.242.88.10 - - [08/Mar/2004:08:40:15 -0800] ";"GET /LateEmail.html HTTP/1.1";" 200 7649"
"877";"64.242.88.10 - - [08/Mar/2004:08:40:15 -0800]  ";" 5 , 75 , 991 ";"  200 7649"
"878";"64.242.88.10 - - [08/Mar/2004:08:52:13 -0800] ";"GET /twiki/bin/view/TWiki/TextFormattingRules?rev=r1.15 HTTP/1.1";" 200 16746"
"879";"64.242.88.10 - - [08/Mar/2004:08:52:13 -0800]  ";" 9 , 25 , 531 ";"  200 16746"
"880";"64.242.88.10 - - [08/Mar/2004:08:53:17 -0800] ";"GET /twiki/bin/view/TWiki/TWikiTutorial HTTP/1.1";" 200 14485"
"881";"64.242.88.10 - - [08/Mar/2004:08:53:17 -0800]  ";" 6 , 24 , 691 ";"  200 14485"
"882";"64.242.88.10 - - [08/Mar/2004:08:55:12 -0800] ";"GET /mailman/private/dentalstudies/ HTTP/1.1";" 200 1558"
"883";"64.242.88.10 - - [08/Mar/2004:08:55:12 -0800]  ";" 8 , 53 , 703 ";"  200 1558"
"884";"spot.nnacorp.com - - [08/Mar/2004:09:02:14 -0800] ";"GET / HTTP/1.1";" 200 3169"
"885";"spot.nnacorp.com - - [08/Mar/2004:09:02:14 -0800]  ";" 9 , 57 , 727 ";"  200 3169"
"886";"spot.nnacorp.com - - [08/Mar/2004:09:02:21 -0800] ";"GET /twiki/bin/view/Main/WebHome HTTP/1.1";" 200 10419"
"887";"spot.nnacorp.com - - [08/Mar/2004:09:02:21 -0800]  ";" 8 , 70 , 508 ";"  200 10419"
"888";"spot.nnacorp.com - - [08/Mar/2004:09:02:21 -0800] ";"GET /twiki/pub/TWiki/TWikiLogos/twikiRobot46x50.gif HTTP/1.1";" 200 2877"
"889";"spot.nnacorp.com - - [08/Mar/2004:09:02:21 -0800]  ";" 4 , 77 , 950 ";"  200 2877"
"890";"10.0.0.153 - - [08/Mar/2004:09:02:29 -0800] ";"GET / HTTP/1.1";" 304 -"
"891";"10.0.0.153 - - [08/Mar/2004:09:02:29 -0800]  ";" 1 , 1 , 703 ";"  304 -"
"892";"10.0.0.153 - - [08/Mar/2004:09:02:31 -0800] ";"GET /cgi-bin/mailgraph2.cgi HTTP/1.1";" 200 2987"
"893";"10.0.0.153 - - [08/Mar/2004:09:02:31 -0800]  ";" 9 , 55 , 391 ";"  200 2987"
"894";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800] ";"GET /cgi-bin/mailgraph.cgi/mailgraph_0_err.png HTTP/1.1";" 200 7326"
"895";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800]  ";" 5 , 8 , 360 ";"  200 7326"
"896";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800] ";"GET /cgi-bin/mailgraph.cgi/mailgraph_0.png HTTP/1.1";" 200 7927"
"897";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800]  ";" 1 , 96 , 56 ";"  200 7927"
"898";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800] ";"GET /cgi-bin/mailgraph.cgi/mailgraph_1_err.png HTTP/1.1";" 200 7182"
"899";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800]  ";" 9 , 70 , 677 ";"  200 7182"
"900";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800] ";"GET /cgi-bin/mailgraph.cgi/mailgraph_1.png HTTP/1.1";" 200 8866"
"901";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800]  ";" 8 , 41 , 833 ";"  200 8866"
"902";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800] ";"GET /cgi-bin/mailgraph.cgi/mailgraph_2.png HTTP/1.1";" 200 9307"
"903";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800]  ";" 1 , 23 , 18 ";"  200 9307"
"904";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800] ";"GET /cgi-bin/mailgraph.cgi/mailgraph_2_err.png HTTP/1.1";" 200 6805"
"905";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800]  ";" 4 , 88 , 298 ";"  200 6805"
"906";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800] ";"GET /cgi-bin/mailgraph.cgi/mailgraph_3.png HTTP/1.1";" 200 6596"
"907";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800]  ";" 1 , 93 , 957 ";"  200 6596"
"908";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800] ";"GET /cgi-bin/mailgraph.cgi/mailgraph_3_err.png HTTP/1.1";" 200 5499"
"909";"10.0.0.153 - - [08/Mar/2004:09:02:32 -0800]  ";" 9 , 81 , 187 ";"  200 5499"
"910";"spot.nnacorp.com - - [08/Mar/2004:09:02:54 -0800] ";"GET /twiki/bin/view/Main/TWikiUsers HTTP/1.1";" 200 6697"
"911";"spot.nnacorp.com - - [08/Mar/2004:09:02:54 -0800]  ";" 8 , 9 , 608 ";"  200 6697"
"912";"spot.nnacorp.com - - [08/Mar/2004:09:02:54 -0800] ";"GET /twiki/pub/TWiki/TWikiLogos/twikiRobot46x50.gif HTTP/1.1";" 304 -"
"913";"spot.nnacorp.com - - [08/Mar/2004:09:02:54 -0800]  ";" 7 , 70 , 588 ";"  304 -"
"914";"64.242.88.10 - - [08/Mar/2004:09:03:18 -0800] ";"GET /dccstats/index.html HTTP/1.1";" 200 2955"
"915";"64.242.88.10 - - [08/Mar/2004:09:03:18 -0800]  ";" 1 , 23 , 578 ";"  200 2955"
"916";"64.242.88.10 - - [08/Mar/2004:09:05:54 -0800] ";"GET /twiki/bin/edit/Sandbox/TestTopic6?topicparent=Sandbox.WebHome HTTP/1.1";" 401 12846"
"917";"64.242.88.10 - - [08/Mar/2004:09:05:54 -0800]  ";" 7 , 48 , 431 ";"  401 12846"
"918";"64.242.88.10 - - [08/Mar/2004:09:09:55 -0800] ";"GET /twiki/bin/view/TWiki/TablePlugin?skin=print HTTP/1.1";" 200 1572"
"919";"64.242.88.10 - - [08/Mar/2004:09:09:55 -0800]  ";" 4 , 83 , 289 ";"  200 1572"
"920";"64.242.88.10 - - [08/Mar/2004:09:12:54 -0800] ";"GET /twiki/bin/search/Main/SearchResult?scope=text&regex=on&search=Spam%20*Assassin[^A-Za-z] HTTP/1.1";" 200 8782"
"921";"64.242.88.10 - - [08/Mar/2004:09:12:54 -0800]  ";" 1 , 44 , 130 ";"  200 8782"
"922";"lhr003a.dhl.com - - [08/Mar/2004:09:16:26 -0800] ";"GET / HTTP/1.0";" 200 3169"
"923";"lhr003a.dhl.com - - [08/Mar/2004:09:16:26 -0800]  ";" 8 , 51 , 6 ";"  200 3169"
"924";"lhr003a.dhl.com - - [08/Mar/2004:09:17:16 -0800] ";"GET /dccstats/index.html HTTP/1.0";" 200 2955"
